DSA Master Sheet									
"Sr 
No."	"Sub
Sr No."	Topic	Subtopic	Problem Name	Link	Difficulty	Status	Notes	Revisit
PHASE 1 : FUNDAMENTALS & LINEAR DATA STRUCTURES									
352	4			Shortest Job First	Link	★★☆☆☆			
353	5			Activity Selection / N Meetings in One Room	Link	★★☆☆☆			
354	6		Intervals & Scheduling	Merge Intervals (Greedy View)	Link	★★★☆☆			
355	7			Insert Interval	Link	★★★☆☆			
356	8			Non-overlapping Intervals	Link	★★★☆☆			
357	9			Minimum Number of Arrows to Burst Balloons	Link	★★★☆☆			
358	10			Job Sequencing Problem	Link	★★★☆☆			
359	11			Minimum Platforms required for a railway	Link	★★★☆☆			
360	12			Maximum Meetings in One Room	Link	★★★☆☆			
361	13			Task Scheduler (Greedy Approach)	Link	★★★☆☆			
362	14		Array & Jump Greedy	Jump Game	Link	★★★☆☆			
363	15			Valid Parenthesis String	Link	★★★☆☆			
364	16			Gas Station	Link	★★★☆☆			
365	17			Jump Game II	Link	★★★☆☆			
366	18		Advanced Greedy	Minimize the Heights II	Link	★★★★☆			
367	19			Candy	Link	★★★★☆			
368	20			Huffman Decoding / Coding	Link	★★★★☆			
369	21			Minimum Number of Taps to Open to Water a Garden	Link	★★★★☆			
370	22			Course Schedule III	Link	★★★★★			
371	1	Graphs	Graphs Fundamentals & Traversals	BFS of Graph	Link	★☆☆☆☆			
372	2			DFS of Graph	Link	★☆☆☆☆			
373	3			Find if Path Exists in Graph	Link	★★☆☆☆			
374	4			Number of Provinces	Link	★★☆☆☆			
375	5			Clone Graph	Link	★★★☆☆			
376	6			Is Graph Bipartite?	Link	★★★☆☆			
377	7		Matrix / Grid BFS Problems	Flood Fill	Link	★★☆☆☆			
378	8			Max Area of Island	Link	★★☆☆☆			
379	9			Number of Islands	Link	★★★☆☆			
380	10			Rotting Oranges	Link	★★★☆☆			
381	11			01 Matrix / Distance of nearest cell having 1	Link	★★★☆☆			
382	12			Surrounded Regions	Link	★★★☆☆			
383	13			Number of Enclaves	Link	★★★☆☆			
384	14			Shortest Path in Binary Matrix	Link	★★★☆☆			
385	15			Swim in Rising Water	Link	★★★★☆			
386	16			Making A Large Island	Link	★★★★☆			
387	17		Cycle Detection	Cycle Detection in Undirected Graph	Link	★★☆☆☆			
388	18			Detect Cycle in a Directed Graph	Link	★★★☆☆			
389	19			Find Eventual Safe States	Link	★★★☆☆			
390	20		Topological Sorting (Kahn's Algorithm)	Topological Sort	Link	★★☆☆☆			
391	21			Course Schedule	Link	★★★☆☆			
392	22			Course Schedule II	Link	★★★☆☆			
393	23			Alien Dictionary	Link	★★★★☆			
394	24			Parallel Courses III	Link	★★★★☆			
395	25		Shortest Path Algorithms (Dijkstra, Bellman-Ford, Floyd-Warshall)	Shortest Path in Undirected Graph (Unit Weights)	Link	★★☆☆☆			
396	26			Shortest Path in DAG	Link	★★☆☆☆			
